year,pred64,pred85,pred105,pred125,temperature
2143,1.774774675,1.147558797,0.903516037,0.773370733,2.720542338
2144,1.802926704,1.161668124,0.912879285,0.780427548,2.775021034
2145,1.831522063,1.175944423,0.922332134,0.787541044,2.713235431
2146,1.860567734,1.19038967,0.93187544,0.794711677,2.658425102
2147,1.890070807,1.205005866,0.941510068,0.801939904,2.735626576
2148,1.920038486,1.219795032,0.951236894,0.80922619,2.755173108
2149,1.950478087,1.234759215,0.961056798,0.816570999,2.795523591
2150,1.981397042,1.249900488,0.970970672,0.823974802,2.763092823
2151,2.0128029,1.265220945,0.980979415,0.831438074,2.780105291
2152,2.044703328,1.280722707,0.991083934,0.838961291,2.871080232
2153,2.077106114,1.296407919,1.001285147,0.846544935,2.85819214
2154,2.110019171,1.312278754,1.011583978,0.854189492,2.721305216
2155,2.143450532,1.328337407,1.021981362,0.86189545,3.043836295
2156,2.177408361,1.344586101,1.032478242,0.869663304,2.915827623
2157,2.211900948,1.361027084,1.043075569,0.877493549,2.99143636
2158,2.246936714,1.377662634,1.053774306,0.885386688,2.897658784
2159,2.282524214,1.394495051,1.064575422,0.893343225,2.903985174
2160,2.318672134,1.411526667,1.075479897,0.90136367,2.989536081
2161,2.355389302,1.428759837,1.08648872,0.909448535,3.176648677
2162,2.392684681,1.446196949,1.097602891,0.917598339,3.045750015
2163,2.430567377,1.463840414,1.108823416,0.925813603,3.153665364
2164,2.469046638,1.481692675,1.120151313,0.934094852,2.952808797
2165,2.508131859,1.499756203,1.131587611,0.942442617,2.987540542
2166,2.547832584,1.518033498,1.143133347,0.950857432,3.007154219
2167,2.588158503,1.53652709,1.154789567,0.959339836,3.268193568
2168,2.629119464,1.555239538,1.166557329,0.967890371,3.059278213
2169,2.670725466,1.574173433,1.1784377,0.976509584,3.048288304
2170,2.712986667,1.593331396,1.190431758,0.985198028,3.1169872
2171,2.755913385,1.612716076,1.202540591,0.993956259,3.152035054
2172,2.7995161,1.632330159,1.214765297,1.002784836,3.229129686
2173,2.843805458,1.652176359,1.227106985,1.011684325,3.308354463
2174,2.888792273,1.672257422,1.239566774,1.020655295,3.12806505
2175,2.934487526,1.692576128,1.252145795,1.029698321,3.159135074
2176,2.980902375,1.713135289,1.264845188,1.038813981,3.331113129
2177,3.028048152,1.733937751,1.277666106,1.04800286,3.292205993
2178,3.075936366,1.754986393,1.290609711,1.057265544,3.073756087
2179,3.12457871,1.776284129,1.303677178,1.066602626,3.292709398
2180,3.17398706,1.797833906,1.316869691,1.076014705,3.221589871
2181,3.224173478,1.819638707,1.330188447,1.085502383,3.385815178
2182,3.275150216,1.84170155,1.343634654,1.095066266,3.227370066
2183,3.326929722,1.864025488,1.357209532,1.104706967,3.309133396
2184,3.379524637,1.886613613,1.370914313,1.114425104,3.328342862
2185,3.4329478,1.909469049,1.384750238,1.124221297,3.396792191
2186,3.487212256,1.93259496,1.398718564,1.134096174,3.50016529
2187,3.542331253,1.955994548,1.412820557,1.144050367,3.397006327
2188,3.598318248,1.979671051,1.427057496,1.154084512,3.298431497
2189,3.65518691,2.003627746,1.441430673,1.164199253,3.234040283
2190,3.712951123,2.027867948,1.455941391,1.174395237,3.38608922
2191,3.77162499,2.052395014,1.470590967,1.184673115,3.643302115
2192,3.831222836,2.077212338,1.485380729,1.195033546,3.364840512
2193,3.891759211,2.102323354,1.500312018,1.205477193,3.398202178
2194,3.953248896,2.127731538,1.51538619,1.216004725,3.474550745
2195,4.015706902,2.153440408,1.530604611,1.226616814,3.480611208
2196,4.079148478,2.179453521,1.545968662,1.23731414,3.413232129
2197,4.143589115,2.205774478,1.561479736,1.248097389,3.521297691
2198,4.209044543,2.232406922,1.57713924,1.258967249,3.493758751
2199,4.275530744,2.259354539,1.592948595,1.269924417,3.497172803
2200,4.343063951,2.28662106,1.608909235,1.280969594,3.456019076
2201,4.411660651,2.314210257,1.625022606,1.292103487,3.540357247
2202,4.481337592,2.34212595,1.641290172,1.303326808,3.573918585
2203,4.552111785,2.370372002,1.657713407,1.314640276,3.628726267
2204,4.62400051,2.398952323,1.6742938,1.326044614,3.598476814
2205,4.697021317,2.427870869,1.691032857,1.337540553,3.863830901
2206,4.771192034,2.457131642,1.707932095,1.349128829,3.626833117
2207,4.846530771,2.486738692,1.724993046,1.360810182,3.757287798
2208,4.92305592,2.516696118,1.742217259,1.372585362,3.687308575
2209,5.000786164,2.547008065,1.759606296,1.38445512,3.738547823
2210,5.079740482,2.57767873,1.777161734,1.396420217,3.505890804
2211,5.159938149,2.608712357,1.794885165,1.408481419,3.771393813
2212,5.241398746,2.640113241,1.812778197,1.420639498,3.874785456
2213,5.324142161,2.671885729,1.830842453,1.432895231,3.720946913
2214,5.408188595,2.704034219,1.849079572,1.445249404,3.507266264
2215,5.493558567,2.736563159,1.867491207,1.457702806,3.8201718
2216,5.580272921,2.769477053,1.886079028,1.470256235,3.815157663
2217,5.668352828,2.802780456,1.904844722,1.482910494,3.879054345
2218,5.757819791,2.836477978,1.923789991,1.495666393,3.911450462
2219,5.848695653,2.870574282,1.942916553,1.508524749,3.916133247
2220,5.941002603,2.905074088,1.962226142,1.521486384,3.701866845
2221,6.034763175,2.939982171,1.981720511,1.534552129,3.794636373
2222,6.130000262,2.975303362,2.001401428,1.547722818,3.874743644
2223,6.226737114,3.011042552,2.021270677,1.560999295,4.126662379
2224,6.32499735,3.047204685,2.041330061,1.574382411,4.047517257
2225,6.42480496,3.083794767,2.0615814,1.58787302,3.988644654
2226,6.526184311,3.120817863,2.08202653,1.601471987,4.12620018
2227,6.629160154,3.158279097,2.102667305,1.615180183,4.046307992
2228,6.733757631,3.196183655,2.123505599,1.628998483,4.175581686
2229,6.840002278,3.234536781,2.1445433,1.642927774,4.033839399
2230,6.947920035,3.273343786,2.165782318,1.656968946,4.122815856
2231,7.05753725,3.31261004,2.187224578,1.671122897,4.198732027
2232,7.168880685,3.352340977,2.208872026,1.685390535,4.191238939
2233,7.281977523,3.392542098,2.230726624,1.699772771,4.128785813
2234,7.396855378,3.433218967,2.252790356,1.714270527,4.097226983
2235,7.513542295,3.474377212,2.275065223,1.72888473,4.127366826
2236,7.632066764,3.516022532,2.297553245,1.743616315,4.101676391
2237,7.752457722,3.55816069,2.320256461,1.758466226,4.055704945
2238,7.874744562,3.600797519,2.343176932,1.773435412,4.091334747
2239,7.998957139,3.64393892,2.366316735,1.788524833,4.186120803
2240,8.12512578,3.687590864,2.389677971,1.803735452,4.073580587
2241,8.253281287,3.731759393,2.413262757,1.819068245,4.297045493
2242,8.38345495,3.776450621,2.437073233,1.834524192,4.400621078
2243,8.51567855,3.821670733,2.461111558,1.850104283,4.170733655
2244,8.649984369,3.867425987,2.485379914,1.865809514,4.351973759
2245,8.786405197,3.913722718,2.509880502,1.881640891,4.365210174
2246,8.92497434,3.960567333,2.534615542,1.897599427,4.27994864
2247,9.06572563,4.007966315,2.55958728,1.913686143,4.355451304
2248,9.20869343,4.055926226,2.58479798,1.929902069,4.42854282
2249,9.353912645,4.104453703,2.610249929,1.946248243,4.45200107
2250,9.50141873,4.153555463,2.635945436,1.962725711,4.431635182
2251,9.651247698,4.203238302,2.661886831,1.979335527,4.481415806
2252,9.803436129,4.253509097,2.688076466,1.996078755,4.410103542
2253,9.958021179,4.304374806,2.714516719,2.012956465,4.385726086
2254,10.11504059,4.355842468,2.741209986,2.029969739,4.479625266
2255,10.27453269,4.407919209,2.768158689,2.047119665,4.527574823
2256,10.43653644,4.460612235,2.795365273,2.064407341,4.478654245
2257,10.60109137,4.51392884,2.822832205,2.081833873,4.383152355
2258,10.76823766,4.567876403,2.850561976,2.099400376,4.463885874
2259,10.93801612,4.622462392,2.878557102,2.117107974,4.598395731
2260,11.11046821,4.677694361,2.906820121,2.134957802,4.634209528
2261,11.28563602,4.733579955,2.935353599,2.152951001,4.398079684
2262,11.46356232,4.79012691,2.964160121,2.171088723,4.516353497
2263,11.64429055,4.847343051,2.993242303,2.189372129,4.573225763
2264,11.82786484,4.905236299,3.02260278,2.207802388,4.644916507
2265,12.01433,4.963814666,3.052244217,2.226380681,4.49609837
2266,12.20373157,5.02308626,3.082169302,2.245108197,4.818350695
2267,12.39611577,5.083059285,3.112380749,2.263986133,4.685367461
2268,12.59152958,5.143742042,3.142881298,2.283015699,4.773432036
2269,12.79002071,5.20514293,3.173673717,2.302198111,4.636502139
2270,12.99163763,5.267270447,3.204760798,2.321534599,4.654492597
2271,13.19642955,5.330133192,3.23614536,2.341026399,4.755346357
